Date,AAPL,GOGL,MSFT
2016-01-04,105.35,5.05,54.8
2016-01-05,102.71,4.8,55.05
2016-01-06,100.7,4.45,54.05
2016-01-07,96.45,3.7,52.17
2016-01-08,96.96,3.65,52.33
2016-01-11,98.53,3.2,52.3
2016-01-12,99.96,3.2,52.78
2016-01-13,97.39,3.5,51.64
2016-01-14,99.52,3.85,53.11
2016-01-15,97.13,3.55,50.99
2016-01-19,96.66,3.5,50.56
2016-01-20,96.79,3.25,50.79
2016-01-21,96.3,3.5,50.48
2016-01-22,101.42,3.7,52.29
2016-01-25,99.44,3.65,51.79
2016-01-26,99.99,3.7,52.17
2016-01-27,93.42,3.55,51.22
2016-01-28,94.09,3.55,52.06
2016-01-29,97.34,3.7,55.09
2016-02-01,96.43,3.3,54.71
2016-02-02,94.48,3.15,53.0
2016-02-03,96.35,3.15,52.16
2016-02-04,96.6,3.3,52.0
2016-02-05,94.02,3.15,50.16
2016-02-08,95.01,3.05,49.41
2016-02-09,94.99,3.1,49.28
2016-02-10,94.27,3.05,49.71
2016-02-11,93.7,3.05,49.69
2016-02-12,93.99,3.35,50.5
2016-02-16,96.64,4.0,51.09
2016-02-17,98.12,4.05,52.42
2016-02-18,96.26,3.6,52.19
2016-02-19,96.04,3.25,51.82
2016-02-22,96.88,3.25,52.65
2016-02-23,94.69,3.3,51.18
2016-02-24,96.1,2.75,51.36
2016-02-25,96.76,2.7,52.1
2016-02-26,96.91,2.8,51.3
2016-02-29,96.69,2.9,50.88
2016-03-01,100.53,3.0,52.58
2016-03-02,100.75,2.9,52.95
2016-03-03,101.5,3.1,52.35
2016-03-04,103.01,4.0,52.03
2016-03-07,101.87,3.75,51.03
2016-03-08,101.03,3.35,51.65
2016-03-09,101.12,3.45,52.84
2016-03-10,101.17,3.35,52.05
2016-03-11,102.26,3.4,53.07
2016-03-14,102.52,3.4,53.17
2016-03-15,104.58,3.2,53.59
2016-03-16,105.97,3.2,54.35
2016-03-17,105.8,3.15,54.66
2016-03-18,105.92,3.4,53.49
2016-03-21,105.91,3.45,53.86
2016-03-22,106.72,3.35,54.07
2016-03-23,106.13,3.2,53.97
2016-03-24,105.67,3.3,54.21
2016-03-28,105.19,3.25,53.54
2016-03-29,107.68,3.3,54.71
2016-03-30,109.56,3.4,55.05
2016-03-31,108.99,3.5,55.23
2016-04-01,109.99,3.45,55.57
2016-04-04,111.12,3.3,55.43
2016-04-05,109.81,3.3,54.56
2016-04-06,110.96,3.35,55.12
2016-04-07,108.54,3.3,54.46
2016-04-08,108.66,3.6,54.42
2016-04-11,109.02,4.3,54.31
2016-04-12,110.44,4.15,54.65
2016-04-13,112.04,4.15,55.35
2016-04-14,112.1,4.4,55.36
2016-04-15,109.85,4.5,55.65
2016-04-18,107.48,4.5,56.46
2016-04-19,106.91,4.6,56.39
2016-04-20,107.13,4.25,55.59
2016-04-21,105.97,4.2,55.78
2016-04-22,105.68,4.45,51.78
2016-04-25,105.08,4.25,52.11
2016-04-26,104.35,4.5,51.44
2016-04-27,97.82,4.5,50.94
2016-04-28,94.83,4.4,49.9
2016-04-29,93.74,4.35,49.87
2016-05-02,93.64,4.35,50.61
2016-05-03,95.18,3.85,49.78
2016-05-04,94.19,3.65,49.87
2016-05-05,93.24,3.55,49.94
2016-05-06,92.72,3.7,50.39
2016-05-09,92.79,3.4,50.07
2016-05-10,93.42,3.45,51.02
2016-05-11,92.51,3.55,51.05
2016-05-12,90.34,3.6,51.51
2016-05-13,90.52,3.4,51.08
2016-05-16,93.88,3.65,51.83
2016-05-17,93.49,3.6,50.51
2016-05-18,94.56,3.55,50.81
2016-05-19,94.2,3.4,50.32
2016-05-20,95.22,3.55,50.62
2016-05-23,96.43,3.55,50.03
2016-05-24,97.9,3.55,51.59
2016-05-25,99.62,3.35,52.12
2016-05-26,100.41,3.4,51.89
2016-05-27,100.35,3.85,52.32
2016-05-31,99.86,4.0,53.0
2016-06-01,98.46,3.9,52.85
2016-06-02,97.72,3.9,52.48
2016-06-03,97.92,3.95,51.79
2016-06-06,98.63,4.1,52.13
2016-06-07,99.03,4.1,52.1
2016-06-08,98.94,4.0,52.04
2016-06-09,99.65,3.95,51.62
2016-06-10,98.83,3.95,51.48
2016-06-13,97.34,3.65,50.14
2016-06-14,97.46,3.5,49.83
2016-06-15,97.14,3.5,49.69
2016-06-16,97.55,3.4,50.39
2016-06-17,95.33,3.55,50.13
2016-06-20,95.1,3.65,50.07
2016-06-21,95.91,3.55,51.19
2016-06-22,95.55,3.65,50.99
2016-06-23,96.1,4.0,51.91
2016-06-24,93.4,3.6,49.83
2016-06-27,92.04,3.1,48.43
2016-06-28,93.59,3.25,49.44
