Date,FB,NFLX,ADBE,NVDA
2016-01-04,102.22,109.96,91.97,32.37
2016-01-05,102.73,107.66,92.34,32.89
2016-01-06,102.97,117.68,91.02,31.53
2016-01-07,97.92,114.56,89.11,30.28
2016-01-08,97.33,111.39,87.85,29.63
2016-01-11,97.51,114.97,89.38,29.68
2016-01-12,99.37,116.58,89.82,30.18
2016-01-13,95.44,106.56,88.3,29.26
2016-01-14,98.37,107.06,89.8,28.67
2016-01-15,94.97,104.04,89.17,27.11
2016-01-19,95.26,107.89,89.18,27.33
2016-01-20,94.35,107.74,87.94,27.48
2016-01-21,94.16,102.35,88.0,27.8
2016-01-22,97.94,100.72,89.63,28.45
2016-01-25,97.01,99.12,86.77,28.42
2016-01-26,97.34,97.83,86.89,28.7
2016-01-27,94.45,91.15,84.85,28.36
2016-01-28,109.11,94.41,84.52,28.05
2016-01-29,112.21,91.84,89.13,29.29
2016-02-01,115.09,94.09,89.61,29.3
2016-02-02,114.61,91.49,87.95,28.06
2016-02-03,112.69,90.74,87.99,28.2
2016-02-04,110.49,89.71,86.36,28.21
2016-02-05,104.07,82.79,79.2,26.43
2016-02-08,99.75,83.32,74.94,25.22
2016-02-09,99.54,86.13,73.85,25.49
2016-02-10,101.0,88.45,75.53,25.43
2016-02-11,101.91,86.35,74.94,25.3
2016-02-12,102.01,87.4,76.67,25.73
2016-02-16,101.61,89.05,78.88,26.99
2016-02-17,105.2,94.76,81.85,27.66
2016-02-18,103.47,90.49,80.53,30.04
2016-02-19,104.57,89.23,80.87,30.44
2016-02-22,107.16,91.93,83.8,31.52
2016-02-23,105.46,89.12,83.07,31.6
2016-02-24,106.88,91.61,83.42,31.82
2016-02-25,108.07,94.53,86.68,31.89
2016-02-26,107.92,94.79,86.6,31.68
2016-02-29,106.92,93.41,85.15,31.36
2016-03-01,109.82,98.3,88.37,32.75
2016-03-02,109.95,97.61,88.39,32.94
2016-03-03,109.58,97.93,87.21,32.65
2016-03-04,108.39,101.58,86.18,32.55
2016-03-07,105.73,95.49,85.11,32.34
2016-03-08,105.93,96.23,84.35,31.75
2016-03-09,107.51,98.0,85.27,31.73
2016-03-10,107.32,97.36,84.85,31.68
2016-03-11,109.41,97.66,86.0,32.22
2016-03-14,109.89,98.13,87.01,32.3
2016-03-15,110.67,97.86,86.83,32.14
2016-03-16,112.18,99.35,88.17,33.1
2016-03-17,111.02,99.72,89.96,32.82
2016-03-18,111.45,101.12,93.42,33.81
2016-03-21,111.85,101.06,92.5,33.91
2016-03-22,112.25,99.84,92.56,33.85
2016-03-23,112.54,99.59,92.16,34.43
2016-03-24,113.05,98.36,92.52,34.48
2016-03-28,113.69,101.21,92.4,34.83
2016-03-29,116.14,104.13,93.22,35.39
2016-03-30,114.7,102.19,93.78,35.76
2016-03-31,114.1,102.23,93.8,35.63
2016-04-01,116.06,105.7,95.16,36.15
2016-04-04,112.55,104.35,94.5,35.8
2016-04-05,112.22,104.94,94.17,35.75
2016-04-06,113.71,104.83,95.4,35.8
2016-04-07,113.64,104.45,93.78,35.43
2016-04-08,110.63,103.81,94.07,35.66
2016-04-11,108.99,102.68,92.95,35.88
2016-04-12,110.61,106.98,93.42,35.84
2016-04-13,110.51,109.65,94.53,36.74
2016-04-14,110.84,110.42,94.44,36.84
2016-04-15,109.64,111.51,95.16,37.13
2016-04-18,110.45,108.4,96.55,36.97
2016-04-19,112.29,94.34,96.52,36.31
2016-04-20,112.42,96.77,96.33,36.45
2016-04-21,113.44,94.98,96.37,36.41
2016-04-22,110.56,95.9,94.79,36.27
2016-04-25,110.1,93.56,95.8,36.45
2016-04-26,108.76,92.43,96.15,36.48
2016-04-27,108.89,91.04,95.64,37.31
2016-04-28,116.73,90.28,93.64,36.2
2016-04-29,117.58,90.03,94.22,35.53
2016-05-02,118.57,93.11,94.9,36.0
2016-05-03,117.43,91.54,93.66,35.57
2016-05-04,118.06,90.79,92.94,34.76
2016-05-05,117.81,89.37,93.5,34.97
2016-05-06,119.49,90.84,94.3,35.33
2016-05-09,119.24,90.54,94.61,35.28
2016-05-10,120.5,92.89,96.52,35.96
2016-05-11,119.52,90.02,96.1,36.06
2016-05-12,120.28,87.74,95.96,35.57
2016-05-13,119.81,87.88,95.97,40.98
2016-05-16,118.67,89.12,97.23,42.19
2016-05-17,117.35,88.63,95.93,42.28
2016-05-18,117.65,90.5,96.7,43.36
2016-05-19,116.81,89.55,95.88,43.55
2016-05-20,117.35,92.49,96.88,44.33
2016-05-23,115.97,94.89,96.62,44.4
2016-05-24,117.7,97.89,99.63,45.36
2016-05-25,117.89,100.2,99.61,45.17
2016-05-26,119.47,102.81,99.37,45.65
2016-05-27,119.38,103.3,100.14,45.9
2016-05-31,118.81,102.57,99.47,46.72
2016-06-01,118.78,101.51,100.04,46.81
2016-06-02,118.93,101.25,100.17,47.14
2016-06-03,118.47,99.59,98.7,46.48
2016-06-06,118.79,100.74,99.12,46.24
2016-06-07,117.76,99.89,98.52,46.33
2016-06-08,118.39,97.86,98.68,46.18
2016-06-09,118.56,97.09,98.07,47.38
2016-06-10,116.62,93.75,97.09,46.2
2016-06-13,113.95,93.85,96.96,46.79
2016-06-14,114.94,94.12,96.98,46.88
2016-06-15,114.6,94.29,97.02,47.36
2016-06-16,114.39,95.44,97.19,47.55
2016-06-17,113.02,94.45,95.58,46.72
2016-06-20,113.37,93.8,97.99,47.56
2016-06-21,114.38,90.99,99.72,47.27
2016-06-22,113.91,90.01,94.01,47.23
2016-06-23,115.08,91.66,96.21,48.49
2016-06-24,112.08,88.44,92.2,45.73
2016-06-27,108.97,85.33,90.85,45.24
2016-06-28,112.7,87.97,92.46,45.9
2016-06-29,114.16,91.06,94.39,46.65
2016-06-30,114.28,91.48,95.79,47.01
2016-07-01,114.19,96.67,95.32,46.66
2016-07-05,114.2,97.91,94.73,47.35
2016-07-06,116.7,94.6,95.18,47.65
2016-07-07,115.85,95.1,95.14,48.89
2016-07-08,117.24,97.06,96.79,50.85
2016-07-11,117.87,94.67,97.14,52.02
2016-07-12,117.93,95.97,97.54,52.8
2016-07-13,116.78,96.43,97.34,52.78
2016-07-14,117.29,98.02,97.7,53.32
2016-07-15,116.86,98.39,97.83,52.7
2016-07-18,119.37,98.81,97.79,52.97
2016-07-19,120.61,85.84,97.79,53.52
2016-07-20,121.92,87.91,98.4,54.22
2016-07-21,120.61,85.99,96.34,53.22
2016-07-22,121.0,85.89,98.06,54.67
2016-07-25,121.63,87.66,97.32,55.68
2016-07-26,121.22,91.41,97.91,56.63
2016-07-27,123.34,92.04,97.93,56.06
2016-07-28,125.0,91.65,98.44,56.18
2016-07-29,123.94,91.25,97.86,57.1
2016-08-01,124.31,94.37,97.72,56.73
2016-08-02,123.09,93.56,96.05,56.04
2016-08-03,122.51,93.1,96.67,56.19
2016-08-04,124.36,93.44,97.09,57.23
2016-08-05,125.15,97.03,99.04,58.2
2016-08-08,125.26,95.11,98.49,58.74
2016-08-09,125.06,93.99,98.87,58.89
2016-08-10,124.88,93.93,100.62,58.51
2016-08-11,124.9,95.89,101.67,59.7
2016-08-12,124.88,96.59,101.04,63.04
2016-08-15,123.9,95.31,100.93,62.98
2016-08-16,123.3,95.12,100.6,62.6
2016-08-17,124.37,96.37,99.7,61.15
2016-08-18,123.91,96.16,100.67,62.1
2016-08-19,123.56,95.87,100.32,62.26
2016-08-22,124.15,95.26,100.24,62.52
2016-08-23,124.37,95.94,101.14,62.91
2016-08-24,123.48,95.18,101.14,61.94
2016-08-25,123.89,97.32,101.69,61.53
2016-08-26,124.96,97.58,102.06,62.03
2016-08-29,126.54,97.3,102.3,61.99
